COUNTRY_NAME_EN,INDICATOR_LABEL_EN,COUNT(*)
Canada,GDP (constant LCU),1
Canada,GDP (current LCU),1
Canada,GDP (current US$),1
Canada,GDP deflator (base year varies by country),1
Canada,GDP growth (annual %),1
Canada,GDP per capita (current LCU),1
Canada,GDP per capita (current US$),1
Canada,"GDP per capita, PPP (constant 2011 international $)",1
Canada,"GDP per capita, PPP (current international $)",1
Canada,"GDP, PPP (constant 2011 international $)",1
Canada,"GDP, PPP (current international $)",1
Canada,GNI (current LCU),1
Canada,GNI per capita (current LCU),1
Canada,"GNI per capita, Atlas method (current US$)",1
Canada,"GNI per capita, PPP (current international $)",1
Canada,General government total expenditure (current LCU),1
Canada,"Official exchange rate (LCU per US$, period average)",1
Canada,"PPP conversion factor, GDP (LCU per international $)",1
Canada,"PPP conversion factor, private consumption (LCU per international $)",1
Canada,Population aged 14 years or younger (thousands),1
Canada,Population aged 15-24 years (thousands),1
Canada,Population aged 25-64 years (thousands) ,1
Canada,Population aged 65 years or older (thousands),1
Canada,Population growth (annual %),1
Canada,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1
Canada,Rural population (% of total population),1
Canada,Total population (thousands),1
Finland,GDP (constant LCU),1
Finland,GDP (current LCU),1
Finland,GDP (current US$),1
Finland,GDP deflator (base year varies by country),1
Finland,GDP growth (annual %),1
Finland,GDP per capita (current LCU),1
Finland,GDP per capita (current US$),1
Finland,"GDP per capita, PPP (constant 2011 international $)",1
Finland,"GDP per capita, PPP (current international $)",1
Finland,"GDP, PPP (constant 2011 international $)",1
Finland,"GDP, PPP (current international $)",1
Finland,GNI (current LCU),1
Finland,GNI per capita (current LCU),1
Finland,"GNI per capita, Atlas method (current US$)",1
Finland,"GNI per capita, PPP (current international $)",1
Finland,General government total expenditure (current LCU),1
Finland,"Official exchange rate (LCU per US$, period average)",1
Finland,"PPP conversion factor, GDP (LCU per international $)",1
Finland,"PPP conversion factor, private consumption (LCU per international $)",1
Finland,Population aged 14 years or younger (thousands),1
Finland,Population aged 15-24 years (thousands),1
Finland,Population aged 25-64 years (thousands) ,1
Finland,Population aged 65 years or older (thousands),1
Finland,Population growth (annual %),1
Finland,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1
Finland,Rural population (% of total population),1
Finland,Total population (thousands),1
Iceland,GDP (constant LCU),1
Iceland,GDP (current LCU),1
Iceland,GDP (current US$),1
Iceland,GDP deflator (base year varies by country),1
Iceland,GDP growth (annual %),1
Iceland,GDP per capita (current LCU),1
Iceland,GDP per capita (current US$),1
Iceland,"GDP per capita, PPP (constant 2011 international $)",1
Iceland,"GDP per capita, PPP (current international $)",1
Iceland,"GDP, PPP (constant 2011 international $)",1
Iceland,"GDP, PPP (current international $)",1
Iceland,GNI (current LCU),1
Iceland,GNI per capita (current LCU),1
Iceland,"GNI per capita, Atlas method (current US$)",1
Iceland,"GNI per capita, PPP (current international $)",1
Iceland,General government total expenditure (current LCU),1
Iceland,"Official exchange rate (LCU per US$, period average)",1
Iceland,"PPP conversion factor, GDP (LCU per international $)",1
Iceland,"PPP conversion factor, private consumption (LCU per international $)",1
Iceland,Population aged 14 years or younger (thousands),1
Iceland,Population aged 15-24 years (thousands),1
Iceland,Population aged 25-64 years (thousands) ,1
Iceland,Population aged 65 years or older (thousands),1
Iceland,Population growth (annual %),1
Iceland,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1
Iceland,Rural population (% of total population),1
Iceland,Total population (thousands),1
Norway,GDP (constant LCU),1
Norway,GDP (current LCU),1
Norway,GDP (current US$),1
Norway,GDP deflator (base year varies by country),1
Norway,GDP growth (annual %),1
Norway,GDP per capita (current LCU),1
Norway,GDP per capita (current US$),1
Norway,"GDP per capita, PPP (constant 2011 international $)",1
Norway,"GDP per capita, PPP (current international $)",1
Norway,"GDP, PPP (constant 2011 international $)",1
Norway,"GDP, PPP (current international $)",1
Norway,GNI (current LCU),1
Norway,GNI per capita (current LCU),1
Norway,"GNI per capita, Atlas method (current US$)",1
Norway,"GNI per capita, PPP (current international $)",1
Norway,General government total expenditure (current LCU),1
Norway,"Official exchange rate (LCU per US$, period average)",1
Norway,"PPP conversion factor, GDP (LCU per international $)",1
Norway,"PPP conversion factor, private consumption (LCU per international $)",1
Norway,Population aged 14 years or younger (thousands),1
Norway,Population aged 15-24 years (thousands),1
Norway,Population aged 25-64 years (thousands) ,1
Norway,Population aged 65 years or older (thousands),1
Norway,Population growth (annual %),1
Norway,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1
Norway,Rural population (% of total population),1
Norway,Total population (thousands),1
Russian Federation,GDP (constant LCU),1
Russian Federation,GDP (current LCU),1
Russian Federation,GDP (current US$),1
Russian Federation,GDP deflator (base year varies by country),1
Russian Federation,GDP growth (annual %),1
Russian Federation,GDP per capita (current LCU),1
Russian Federation,GDP per capita (current US$),1
Russian Federation,"GDP per capita, PPP (constant 2011 international $)",1
Russian Federation,"GDP per capita, PPP (current international $)",1
Russian Federation,"GDP, PPP (constant 2011 international $)",1
Russian Federation,"GDP, PPP (current international $)",1
Russian Federation,GNI (current LCU),1
Russian Federation,GNI per capita (current LCU),1
Russian Federation,"GNI per capita, Atlas method (current US$)",1
Russian Federation,"GNI per capita, PPP (current international $)",1
Russian Federation,General government total expenditure (current LCU),1
Russian Federation,"Official exchange rate (LCU per US$, period average)",1
Russian Federation,"PPP conversion factor, GDP (LCU per international $)",1
Russian Federation,Population aged 14 years or younger (thousands),1
Russian Federation,Population aged 15-24 years (thousands),1
Russian Federation,Population aged 25-64 years (thousands) ,1
Russian Federation,Population aged 65 years or older (thousands),1
Russian Federation,Population growth (annual %),1
Russian Federation,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1
Russian Federation,Rural population (% of total population),1
Russian Federation,Total population (thousands),1
Sweden,GDP (constant LCU),1
Sweden,GDP (current LCU),1
